"","lon","lat"
"529",-93.7574008,30.8485337
"530",-82.1076486,41.3683798
"531",-118.2436849,34.0522342
"532",-111.9474866,40.6756445
"533",51.3889736,35.6891975
"534",-84.3879824,33.7489954
"535",-77.0368707,38.9071923
"536",8.541694,47.3768866
"537",NA,NA
"538",-71.0588801,42.3600825
"539",-96.5388789,33.0151201
"540",1.297355,52.6308859
"541",-91.957391,38.5080888
"542",NA,NA
"543",-88.0111746,41.8089191
"544",-76.4859544,44.2311717
"545",NA,NA
"546",44.219722,15.479167
"547",-95.3656107,29.7601082
"548",-73.9214274,40.7409452
"549",-121.9808578,47.5778285
"550",72.7980048,21.1956915
"551",NA,NA
"552",-95.3698028,29.7604267
"553",139.754732,35.655152
"554",-99.9018131,31.9685988
"555",-83.0457538,42.331427
"556",-71.3824374,42.4072107
"557",-111.0937311,34.0489281
"558",-104.195846,32.400126
"559",-96.8236116,33.1506744
"560",NA,NA
"561",-84.4277001,33.6407282
"562",-77.0368707,38.9071923
"563",-90.9531574,30.5757431
"564",-70.8226541,43.9653889
"565",-113.4909267,53.544389
"566",-120.7401386,47.7510741
"567",NA,NA
"568",-71.0588801,42.3600825
"569",-70.9915997,42.4136428
"570",-92.8103551,38.1380003
"571",-120.5718719,38.4318551
"572",-87.0641992,41.6105937
"573",-4.193056,52.934281
"574",NA,NA
"575",-0.0201064,51.4446414
"576",-86.3130247,32.3362956
"577",-122.3097458,47.5948003
"578",-79.3831843,43.653226
"579",-74.0059413,40.7127837
"580",-74.0059413,40.7127837
"581",19.145136,51.919438
"582",-71.3824374,42.4072107
"583",-116.9535077,33.5284559
"584",NA,NA
"585",NA,NA
"586",-95.3698028,29.7604267
"587",-81.5157535,27.6648274
"588",NA,NA
"589",NA,NA
"590",14.9998922,60.7303082
"591",-43.1728965,-22.9068467
"592",-77.0368707,38.9071923
"593",-69.9298194,43.8922586
"594",NA,NA
"595",-86.902298,32.3182314
"596",-111.9400054,33.4255104
"597",-84.3640829,33.7589188
"598",NA,NA
"599",36.080026,-0.3030988
"600",-122.286865,38.2975381
"601",NA,NA
"602",-125.2733354,50.0331226
"603",-99.1712821,19.4121597
"604",-84.3871494,33.758969
"605",4.469936,50.503887
"606",-73.742898,42.6425794
"607",NA,NA
"608",NA,NA
"609",NA,NA
"610",-84.3879824,33.7489954
"611",NA,NA
"612",-74.0059413,40.7127837
"613",-71.0588801,42.3600825
"614",NA,NA
"615",-38.5266704,-3.7318616
"616",NA,NA
"617",NA,NA
"618",-82.9226153,39.993591
"619",-81.1606401,36.1459649
"620",-97.7972544,32.7592955
"621",-82.907123,40.4172871
"622",NA,NA
"623",NA,NA
"624",-81.4959267,35.8484645
"625",-88.1347927,41.9125286
"626",-0.633389,45.744175
"627",-79.7532779,37.2263933
"628",-74.74655,41.8012001
"629",NA,NA
"630",-81.3792365,28.5383355
"631",-79.0192997,35.7595731
"632",-1.349736,50.609968
"633",-84.2700179,37.8393332
"634",-71.0588801,42.3600825
"635",-84.3640829,33.7589188
"636",-89.3747492,36.7758319
"637",-81.9773482,36.7098335
"638",-84.2700179,37.8393332
"639",-71.0588801,42.3600825
"640",-99.9018131,31.9685988
"641",-118.2436849,34.0522342
"642",-79.0192997,35.7595731
"643",-117.9186689,33.6411316
"644",-74.6627028,40.4676148
"645",NA,NA
"646",NA,NA
"647",-73.567256,45.5016889
"648",-111.9066784,40.5779592
"649",-90.3045604,38.4700532
"650",-81.5157535,27.6648274
"651",-73.9912718,40.7607553
"652",-71.5723953,43.1938516
"653",-70.4367642,41.6172921
"654",-99.133208,19.4326077
"655",-41.7007272,-12.579738
"656",-98.4936282,29.4241219
"657",-71.0588801,42.3600825
"658",-78.8689155,38.4495688
"659",NA,NA
"660",-73.9990269,40.372054
"661",-71.2478251,42.0653812
"662",-71.0588801,42.3600825
"663",35.233154,31.952162
"664",NA,NA
"665",-114.0708459,51.0486151
"666",-90.0715323,29.9510658
"667",-81.9699972,34.9956099
"668",-82.6373703,28.0528969
"669",-111.8910474,40.7607793
"670",-76.1152289,39.6048327
"671",NA,NA
"672",-80.186969,25.7814014
"673",-118.2436849,34.0522342
"674",-101.1947969,20.5549731
"675",NA,NA
"676",NA,NA
"677",2.3522219,48.856614
"678",-51.92528,-14.235004
"679",-71.0588801,42.3600825
"680",-71.566139,42.391736
"681",-117.2552565,32.8533936
"682",-120.5542012,43.8041334
"683",NA,NA
"684",-82.6578557,28.0364135
"685",-84.8413056,33.9244531
"686",-95.712891,37.09024
"687",NA,NA
